Efeito,Descrição,Passos Base,Code
Queimado,Perde (1% da Vida) por passo e recebe (35% menos cura).,6,1
Dormindo,Não pode agir. O efeito é removido após sofrer um ataque.,6,2
Envenenado,Perde (2% da Vida) por passo.,6,3
Intoxicado,"Perde (3% da Vida) por passo e, a cada 2 passos, libera um gás ao redor de si com alcance equivalente a (2 vezes o próprio raio), fazendo aliados no alcance perderem (2% da Vida).",6,4
Paralisado,Não pode preparar ataques.,6,5
Vampirico,Inimigos que atacarem este Pokémon curam vida equivalente a (25% do dano causado) a ele.,6,6
Encharcado,Ataques gastam (20% mais Ene) e o Pokémon se move (20% mais devagar).,6,7
Quebrado,Recebe (50% menos Durabilidade).,6,8
Enfraquecido,Recebe (50% menos Amplificação).,6,9
Confuso,Recebe (50% menos Acuracia).,6,10
Congelado,"Não pode agir, mas recebe (30% menos dano).",6,11
Atordoado,Não pode usar passivas de itens ou habilidades.,6,12
Cauterizado,Não pode causar acertos críticos.,6,13
Descarregado,Recupera (50% menos Ene).,6,14
Bloqueado,Não pode receber efeitos positivos.,6,15
Amaldiçoado,Efeitos negativos aplicados neste Pokémon duram (50% mais tempo).,6,16
Enraizado,Não pode se mover.,6,17
Regeneração,Cura (4% da Vida perdida) por passo.,6,18
Abençoado,Cura (3% da Vida perdida) por passo e recebe (35% mais cura) de qualquer fonte.,6,19
Imortal,Não pode ser morto. O efeito é removido após receber dano que seria mortal.,6,20
Fortificado,Recebe (50% mais Durabilidade).,6,21
Amplificado,Recebe (50% mais Amplificação).,6,22
Voando,Ataques que atingiriam este Pokémon têm (40% de chance de errar).,6,23
Flutuando,Ataques normais têm (40% menos assertividade) contra este Pokémon.,6,24
Imune,Não pode receber efeitos negativos.,6,25
Energizado,Recupera (50% mais Ene) e pode ultrapassar o limite máximo de Ene enquanto o efeito estiver ativo.,6,26
Preparado,Recebe apenas (40% do dano) e devolve dano equivalente a (40% da Vel).,6,27
Provocando,É sempre o alvo preferencial de ataques únicos.,6,28
Furtivo,Não pode ser alvo direto.,6,29
Encantado,Efeitos positivos aplicados neste Pokémon duram (50% mais tempo).,6,30
Refletindo,"Ao sofrer dano, recebe apenas (35% dele) e devolve (50% do dano original) ao atacante.",6,31
Evasivo,Desvia do próximo dano recebido. O efeito é removido após ativar.,6,32
Focado,O próximo ataque do Pokémon recebe (100% de Acuracia). O efeito é removido após ativar.,6,33
Imparavel,Não pode recuar nem ser movido por ataques.,6,34
Chuva,"Ataques de Água causam (30% mais dano), ataques de Fogo causam (30% menos dano), Encharcado não perde duração enquanto o clima estiver ativo, Queimado perde (2 passos de duração) por passo, e Pokémon de Gelo curam (1% da Vida máxima) por passo.",,35
Sol Forte,"Ataques de Água causam (30% menos dano), ataques de Fogo causam (30% mais dano), Queimado não perde duração enquanto o clima estiver ativo, Encharcado perde (2 passos de duração) por passo, e Pokémon de Gelo perdem (1% da Vida máxima) por passo.",,36
Nevasca,Pokémon de Gelo recebem (30% mais Def) e (30% mais SpD).,,37
Tempestade de Areia,"Pokémon que não sejam dos tipos Terrestre, Metal ou Pedra perdem (1% da Vida) por passo. Pokémon do tipo Terrestre recebem (20% mais Vel).",,38
Nevoa,Ataques de alvo direto recebem (30% menos assertividade). Pokémon do tipo Fantasma recebem (25% mais Vel).,,39
Gravidade Anomala,"Pokémon Cósmicos recebem (15% mais Vel). Todos os Pokémon recebem (5% mais Def) e (5% mais SpD) a cada (100 kg), até o máximo de (30%). Pokémon com Voando perdem (2% da Vida) por passo. Deslocamentos voluntários têm (50% menos Vel).",,40
Chuva Acida,Envenenado e Intoxicado não perdem duração enquanto o clima estiver ativo. Pokémon que não sejam do tipo Venenoso perdem (1% da Vida) por passo. Pokémon Venenosos curam (1% da Vida máxima) por passo.,,41
Tempestade de Raios,"Pokémon do tipo Elétrico ganham Energizado. A cada 2 passos, 1 casa aleatória em cada campo é atingida por um raio que causa (35% da Vida) como dano.",,42
Noite densa,Pokémon que não sejam do tipo Sombrio recebem (25% menos Acuracia). Pokémon Sombrios recebem (20% mais Vel).,,43
Incendiado,"Enquanto estiver neste terreno, perde (2% da Vida) por passo e recebe (50% menos cura).",,44
Contaminado,"Enquanto estiver neste terreno, perde (1% da Vida) por passo e recebe Envenenado. A duração de Envenenado não diminui enquanto permanecer neste terreno.",,45
Amaldiçoado,Efeitos negativos aplicados enquanto estiver neste terreno duram (100% mais tempo).,,46
Destruido,"Enquanto estiver neste terreno, causa (20% menos dano) e recebe (20% mais dano).",,47
Energizado,"Enquanto estiver neste terreno, recupera (100% mais Ene).",,48
Sagrado,"Enquanto estiver neste terreno, causa (25% mais dano).",,49
Abençoado,"Enquanto estiver neste terreno, cura (5% da Vida perdida) por passo e recebe (50% mais cura) de todas as fontes.",,50
Elevado,"Enquanto estiver neste terreno, recebe (30% mais Acuracia), e inimigos que atacarem este Pokémon recebem (30% menos Acuracia).",,51
