Nome,Descrição,Fator,Raridade,Bau,Valor,Venda,Stacks,Estilo,Code
Poção,Um frasco básico que recupera um pouco da vida do Pokémon.,20,1,s,5,s,50,poção,1
Super Poção,Uma versão aprimorada que restaura uma quantidade maior de vida.,50,2,s,10,s,50,poção,2
Hiper Poção,Uma dose potente de cura para recuperar boa parte da vida do Pokémon.,120,4,s,20,s,50,poção,3
Mega Poção,Um frasco avançado que restaura uma grande quantidade de vida.,250,5,s,30,s,50,poção,4
Max Poção,Restaura completamente a vida do Pokémon em uma única aplicação.,1000,6,s,50,s,10,poção,5
Poção Suprema,"Uma maravilha da ciencia, usada para fazer com que Pokemons nunca percam realmente vida nas batalhas",-,6,n,90,ss,1,poção,6
Revival,Traz um Pokémon derrotado de volta à batalha com parte da vida restaurada,25,3,s,15,s,50,poção,7
Max Revival,Revive um Pokémon derrotado com toda a sua vida restaurada.,100,6,s,60,s,10,poção,8
Elixir,Pequeno frasco que concede experiência extra ao seu Pokémon.,50,1,s,6,s,50,poção,9
Super Elixir,Uma dose reforçada de experiência para acelerar o treino.,250,2,s,15,s,50,poção,10
Hiper Elixir,Um concentrado de experiência que impulsiona rapidamente o nível.,1200,4,s,35,s,50,poção,11
Mega Elixir,A carga máxima de experiência em uma única dose.,3000,6,s,70,s,50,poção,12
Pokeball,A esfera clássica para capturar Pokémon comuns.,10,1,s,4,s,50,bola,13
Greatball,Esfera aprimorada com maior taxa de captura.,25,2,s,10,s,50,bola,14
Ultraball,Esfera de alta performance para capturas difíceis.,60,5,s,20,s,50,bola,15
Masterball,A lendária esfera que garante captura 100%.,1000,e,n,100,ss,10,bola,16
Levelball,Aumenta 5 níveis do Pokémon e melhora a captura com base no nível.,1 + nivel,3,s,18,s,50,bola,17
Furyball,Especializada para capturar Pokémon irritados instantaneamente.,10/75,4,s,18,s,50,bola,18
Heavyball,Melhora a captura quanto mais pesado for o Pokémon.,1 + peso divido por 3 (max 100),3,s,18,s,50,bola,19
Aquaball,Maior eficiência na captura de Pokémon aquáticos.,10/70,2,s,18,s,50,bola,20
Attemptball,Aumenta a chance de captura a cada tentativa falha anterior.,5 + 10 por tentativa,4,s,16,s,50,bola,21
Premierball,Melhora a captura durante batalhas ativas.,22/82,5,s,25,s,50,bola,22
Candyball,Faz o Pokémon capturado dropar o triplo de doces.,10,3,s,25,s,50,bola,23
Loveball,Aumenta a amizade do Pokémon após a captura.,10,3,s,15,s,50,bola,24
Secretball,Aumenta 10% do IV do Pokémon ao capturar.,20,6,s,40,s,50,bola,25
Fastball,Mais rápida e eficiente quanto maior a velocidade do Pokémon.,1 + vel,3,s,16,s,50,bola,26
Fruitball,Aumenta as chances conforme a quantidade de frutas oferecidas.,5 + 20 por fruta,3,s,25,s,50,bola,27
Tallball,Melhora a captura quanto mais alto for o Pokémon.,1 + altura (cm) divido por 5 (max 100),2,s,18,s,50,bola,28
Sniperball,Arremessa mais longe e captura melhor à distância.,1  + 10 por metro,4,s,18,s,50,bola,29
Beastball,Especializada para capturar Pokémon raros e não spawnáveis.,15/85,4,s,25,s,50,bola,30
Caxi Berry,Dobra a quantidade de doces obtidos.,2,3,s,12,s,50,fruta,31
Frambo Berry,Melhora levemente a chance de captura.,10,1,s,5,s,50,fruta,32
Super Frambo Berry,Melhora muito a chance de captura.,25,4,s,16,s,50,fruta,33
Simp Berry,Aumenta a amizade do Pokémon ao capturar.,10,1,s,3,s,50,fruta,34
Secret Berry,Aumenta 5% o IV do Pokémon ao capturar.,5,6,s,30,s,10,fruta,35
Lum Berry,Aumenta 3 níveis do Pokémon.,3,3,s,10,s,50,fruta,36
Tomper Berry,Amplia a barra de captura crítica do Pokémon.,25,2,s,8,s,50,fruta,37
Abbajuur Berry,Reduz a velocidade da barra de captura crítica.,25,2,s,8,s,50,fruta,38
Jujuca Berry,Aumenta o número de frutas que um Pokémon pode consumir.,2,2,s,16,s,50,fruta,39
Jungle Berry,Melhora a captura em áreas de floresta.,26,2,s,10,s,50,fruta,40
Desert Berry,Melhora a captura em áreas desérticas.,26,2,s,10,s,50,fruta,41
Frozen Berry,Melhora a captura em regiões geladas.,26,2,s,10,s,50,fruta,42
Field Berry,Melhora a captura em campos abertos.,26,2,s,12,s,50,fruta,43
Water Berry,Melhora a captura em ambientes aquáticos.,26,2,s,12,s,50,fruta,44
Lava Berry,Melhora a captura em terras vulcanicas,26,2,s,10,s,50,fruta,45
Magic Berry,Melhora a captura no bioma magico,26,2,s,10,s,50,fruta,46
Madeira,Recurso básico usado em construções e na criação de ferramentas simples.,-,1,n,2,n,50,recurso,47
Carvão,"Recurso combustível usado para alimentar fornalhas, gerar calor e fabricar itens básicos.",-,2,n,2,n,50,recurso,48
Pedra,Recurso comum usado em construções e na criação de ferramentas mais resistentes.,-,1,n,3,n,50,recurso,49
